2023-04-30 00:52:16.382 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 00:52:16.393 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 00:52:17.159 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 00:52:18.310 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 11076 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 00:52:18.324 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 00:52:18.643 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 00:52:22.193 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 00:52:22.213 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 00:52:22.214 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 00:52:22.214 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 00:52:22.392 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 00:52:22.392 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 3748 ms
2023-04-30 00:52:22.705 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 00:52:22.980 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 00:52:23.027 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
2023-04-30 00:52:23.048 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 5.929 seconds (JVM running for 7.244)
2023-04-30 00:57:47.589 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 00:57:47.590 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 00:57:47.601 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 11 ms
2023-04-30 00:58:17.860 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 00:58:17.870 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 00:58:18.218 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 00:58:18.926 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 9376 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 00:58:18.928 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 00:58:19.098 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 00:58:21.748 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
